row no.,tree no.,X,Y
14,49.00,725390.25,4162646.25
14,50.00,725385.25,4162643.25
14,51.00,725380.75,4162641.75
14,52.00,725377.75,4162639.25
14,53.00,725374.75,4162637.75
15,1.00,725498.50,4162714.90
15,2.00,725497.39,4162711.71
15,3.00,725485.70,4162704.48
15,4.00,725482.75,4162703.25
15,5.00,725480.75,4162702.25
15,6.00,725477.75,4162700.25
15,7.00,725475.75,4162699.25
15,8.00,725474.75,4162698.25
15,9.00,725473.25,4162697.25
15,10.00,725468.75,4162694.25
15,11.00,725467.25,4162693.25
15,12.00,725465.64,4162691.94
15,13.00,725462.75,4162690.25
15,14.00,725461.25,4162689.25
15,15.00,725459.90,4162687.83
15,16.00,725456.75,4162686.25
15,17.00,725455.25,4162685.25
15,18.00,725453.29,4162684.52
15,19.00,725452.75,4162682.75
15,20.00,725449.25,4162680.75
15,21.00,725446.25,4162679.75
15,22.00,725443.75,4162677.75
15,23.00,725440.25,4162675.75
15,24.00,725437.75,4162673.25
15,25.00,725434.75,4162671.25
15,26.00,725431.25,4162669.25
15,27.00,725425.25,4162665.75
15,28.00,725422.25,4162663.75
15,29.00,725419.25,4162661.75
15,30.00,725416.25,4162659.75
15,31.00,725413.25,4162657.25
15,32.00,725409.75,4162655.25
15,33.00,725406.75,4162653.75
15,34.00,725403.25,4162651.25
15,35.00,725397.75,4162648.25
15,36.00,725394.75,4162645.75
15,37.00,725391.75,4162643.25
15,38.00,725388.25,4162641.75
15,39.00,725385.25,4162639.25
15,40.00,725384.22,4162639.17
15,41.00,725382.25,4162638.25
15,42.00,725380.36,4162637.05
15,43.00,725379.25,4162635.75
15,44.00,725376.25,4162633.75
15,45.00,725375.23,4162632.34
16,1.00,725499.75,4162711.25
16,2.00,725496.75,4162708.25
16,3.00,725493.25,4162707.75
16,4.00,725492.75,4162705.25
16,5.00,725491.75,4162704.25
16,6.00,725486.25,4162701.75
16,7.00,725484.25,4162700.75
16,8.00,725481.75,4162699.25
16,9.00,725480.40,4162698.70
16,10.00,725479.75,4162697.75
16,11.00,725478.15,4162696.72
16,12.00,725476.75,4162695.75
16,13.00,725475.70,4162694.69
16,14.00,725474.25,4162693.25
16,15.00,725471.75,4162692.75
16,16.00,725469.75,4162690.75
16,17.00,725467.75,4162689.75
16,18.00,725466.02,4162688.64
16,19.00,725464.75,4162687.75
16,20.00,725462.75,4162686.25
16,21.00,725461.18,4162685.47
16,22.00,725458.75,4162683.25
16,23.00,725455.75,4162681.25
16,24.00,725454.16,4162680.17
16,25.00,725452.25,4162679.75
16,26.00,725451.25,4162678.25
16,27.00,725445.25,4162675.25
16,28.00,725443.25,4162673.75
16,29.00,725436.25,4162669.25
16,30.00,725434.33,4162666.97
16,31.00,725432.75,4162667.25
16,32.00,725430.25,4162664.75
16,33.00,725427.25,4162663.25
16,34.00,725424.25,4162661.25
16,35.00,725420.75,4162659.25
16,36.00,725418.25,4162657.25
16,37.00,725414.75,4162655.25
16,38.00,725412.25,4162653.25
16,39.00,725408.75,4162651.25
16,40.00,725405.75,4162649.25
16,41.00,725402.25,4162647.75
16,42.00,725399.25,4162645.75
16,43.00,725396.75,4162643.25
16,44.00,725393.25,4162640.75
16,45.00,725390.75,4162639.25
16,46.00,725387.25,4162637.25
16,47.00,725384.25,4162635.25
16,48.00,725380.75,4162633.25
16,49.00,725378.25,4162631.25
16,50.00,725376.28,4162631.03
