ROW,TREE #,DBH,HT,HTLC,DIST from Tree 1,Dist from Tree 1 Ft,Tree,CuFT,CuMe,status
5,59,13.2,68.76464,,,0.0,299,28.735581079168,0.8136997023025844,Alive
5,60,11.3,64.0,46.0,4062.0,338.5,300,19.669230800000005,0.5569696747174401,Alive
6,1,4.7,49.74844,,,0.0,301,2.8349744342480006,0.08027740405971379,Alive
6,2,10.7,64.14664,,,0.0,302,17.698564176368,0.5011667020693773,Alive
6,3,8.9,60.31858,,,0.0,303,11.590736637884003,0.32821257122763375,Alive
6,4,7.5,57.05,,,0.0,304,7.857058750000001,0.22248676121200003,Alive
6,5,10.3,63.33236,,,0.0,305,16.210543572312005,0.4590307202284446,Alive
6,6,5.1,50.85392,,,0.0,306,3.3675408928960002,0.09535798195595746,Alive
6,7,11.6,65.90272,,,0.0,307,21.325020607616,0.6038563435417408,Alive
6,8,8.9,60.31858,,,0.0,308,11.590736637884003,0.32821257122763375,Alive
6,9,9.5,61.6414,,,0.0,309,13.459754513,0.3811371765937184,Alive
6,10,8.8,64.0,51.0,,0.0,310,12.015150800000002,0.3402306221734401,Alive
6,11,,0.0,,,0.0,311,0.0,0.0,Dead
6,12,6.9,55.57118,,,0.0,312,6.516360433924001,0.18452247513533915,Alive
6,13,7.4,56.80678,,,0.0,313,7.623049469264002,0.21586036721125487,Alive
6,14,11.1,64.94012000000001,,,0.0,314,19.262517800776003,0.5454528640610139,Alive
6,15,6.5,54.5593,,1005.0,83.75,315,5.7057004115000005,0.1615671774123632,Alive
6,16,7.1,56.069320000000005,,,0.0,316,6.946451522456002,0.1967012784710821,Alive
6,17,6.4,54.30308,,,0.0,317,5.513214893184002,0.15611660348731274,Alive
6,18,6.4,54.30308,,,0.0,318,5.513214893184002,0.15611660348731274,Alive
6,19,5.3,51.39886,,,0.0,319,3.655719666212,0.10351828264419197,Alive
6,20,4.4,54.0,46.0,,0.0,320,2.7076372,0.07667162106496,Alive
6,21,7.6,57.291920000000005,,,0.0,321,8.095341492096,0.22923416596338403,Alive
6,22,9.2,60.98584,,,0.0,322,12.504672764288,0.3540923177317904,Alive
6,23,8.5,59.410700000000006,,,0.0,323,10.435456918500003,0.2954987464697809,Alive
6,24,8.2,58.71614,,,0.0,324,9.615904343568001,0.27229164011594637,Alive
6,25,7.0,55.8209,,,0.0,325,6.729323358,0.19055290366381442,Alive
6,26,9.4,61.42418,,,0.0,326,13.136798496624003,0.37199209566920255,Alive
6,27,9.1,60.76472,,,0.0,327,12.195474982415998,0.3453368259820773,Alive
6,28,9.5,61.6414,,,0.0,328,13.459754513,0.3811371765937184,Alive
6,29,8.7,59.867239999999995,,,0.0,329,11.004106321527997,0.311601077885444,Alive
6,30,9.1,64.0,54.0,1787.0,148.91666666666666,330,12.833109199999999,0.36339258659456,Alive
