Row,Tree,pre_DBH,pre_HT,pre_stem_vol,pre_stem_vol_m3,status,DBH,HT
19,28,10.4,54.959,14.367,0.407,Alive,10.4,54.95936
19,29,8.5,51.015,8.992,0.255,Alive,8.5,51.01514999999999
20,1,9.0,52.053,10.254,0.29,Alive,9.0,52.0531
20,2,8.7,51.43,9.484,0.269,Alive,8.7,51.43033
20,3,6.2,46.241,4.45,0.126,Alive,6.2,46.240579999999994
20,4,5.9,45.618,3.999,0.113,Alive,5.9,45.61781
20,5,8.7,51.43,9.484,0.269,Alive,8.7,51.43033
20,6,8.7,51.43,9.484,0.269,Alive,8.7,51.43033
20,7,6.7,47.279,5.271,0.149,Alive,6.7,47.27853
20,8,9.0,52.053,10.254,0.29,Alive,9.0,52.0531
20,9,7.6,49.147,6.976,0.198,Alive,7.6,49.14684
20,10,6.5,48.0,5.046,0.143,Alive,6.5,48.0
20,11,8.4,50.808,8.752,0.248,Alive,8.4,50.807559999999995
20,12,9.2,52.468,10.789,0.306,Alive,9.2,52.46827999999999
20,13,9.2,52.468,10.789,0.306,Alive,9.2,52.46827999999999
20,14,8.5,51.015,8.992,0.255,Alive,8.5,51.01514999999999
20,15,7.3,48.524,6.374,0.18,Alive,7.3,48.524069999999995
20,16,6.6,47.071,5.099,0.144,Alive,6.6,47.07093999999999
20,17,7.6,49.147,6.976,0.198,Alive,7.6,49.14684
20,18,4.0,41.674,1.806,0.051,Alive,4.0,41.67359999999999
20,19,10.4,54.959,14.367,0.407,Alive,10.4,54.95936
20,20,6.8,47.0,5.392,0.153,Alive,6.8,47.0
20,21,6.9,47.694,5.624,0.159,Alive,6.9,47.69371
20,22,7.0,47.901,5.806,0.164,Alive,7.0,47.90129999999999
20,23,8.9,51.846,9.993,0.283,Alive,8.9,51.84551
20,24,8.7,51.43,9.484,0.269,Alive,8.7,51.43033
20,25,6.9,47.694,5.624,0.159,Alive,6.9,47.69371
20,26,7.0,47.901,5.806,0.164,Alive,7.0,47.90129999999999
20,27,8.9,51.846,9.993,0.283,Alive,8.9,51.84551
20,28,8.7,51.43,9.484,0.269,Alive,8.7,51.43033
20,29,6.9,47.694,5.624,0.159,Alive,6.9,47.69371
20,30,10.6,55.375,15.028,0.426,Alive,10.6,55.37454
20,31,7.7,49.354,7.184,0.203,Alive,7.7,49.354429999999994
20,32,9.9,53.921,12.797,0.362,Alive,9.9,53.921409999999995
20,33,9.1,52.261,10.519,0.298,Alive,9.1,52.26069
20,34,6.7,45.0,5.027,0.142,Alive,6.7,45.0
20,35,8.7,51.43,9.484,0.269,Alive,8.7,51.43033
21,1,8.9,51.846,9.993,0.283,Alive,8.9,51.84551
