Row,Tree,pre_DBH,pre_HT,pre_LLC,pre_stem_vol
11,28,12.7,70.491007,,27.27888696
11,29,8.7,64.8,42,11.89270456
11,30,11,69.9424,,20.36150235
11,31,11.3,70.137787,,21.53451777
11,32,11.6,70.290928,,22.73035651
11,33,13.1,70.422943,,28.98245937
11,34,8.7,67.040927,,12.29639008
11,35,10.3,69.322207,,17.7229452
11,36,10.8,,,0.21949
11,37,10.7,69.704767,,19.21307708
11,38,6.7,65.8,49.2,7.24944356
11,39,8.5,66.671275,,11.68394909
11,40,9.7,68.607547,,15.58306615
11,41,8.3,66.282847,,11.08710628
11,42,8.1,65.875643,,10.50609023
11,43,6.9,63.038123,,7.362453186
11,44,9.9,68.864543,,16.28309499
11,45,11.2,70.077352,,21.14088722
11,46,8,70,47.5,10.88189
11,47,6.8,62.771152,,7.127530603
11,48,7,63.3004,,7.601582648
11,49,8.7,67.040927,,12.29639008
11,50,9.4,68.186848,,14.55896594
11,51,9.1,67.723903,,13.56704505
11,52,9.4,68.186848,,14.55896594
11,53,8.5,66.671275,,11.68394909
11,54,9.9,68.864543,,16.28309499
11,55,11.2,72.3,46.8,21.80445256
12,1,9.4,68.186848,,14.55896594
12,2,8.6,66.858448,,11.98823494
12,3,8.6,66.858448,,11.98823494
12,4,8.5,66.671275,,11.68394909
12,5,5.9,60.157183,,5.203380266
12,6,8.9,,,0.21949
12,7,7,63.3004,,7.601582648
12,8,9,67.5602,,13.24374536
12,9,10,70.5,45,16.99849
12,10,7.8,65.229632,,9.66468853
12,11,7.1,63.557983,,7.844909857
12,12,9,,,0.21949
12,13,6.1,60.770923,,5.601350787
12,14,8.2,66.081592,,10.79460647
12,15,7.7,65.004907,,9.392345428
12,16,8.8,67.218712,,12.6083826
12,17,8.2,66.081592,,10.79460647
12,18,7.6,64.775488,,9.124098605
12,19,8.8,71.2,46.7,13.34216264
12,20,8,65.665,,10.2215828
12,21,8.2,66.081592,,10.79460647
12,22,7.4,64.302568,,8.599966524
12,23,9.8,68.738392,,15.9313817
12,24,10.7,69.704767,,19.21307708
12,25,9.3,,,0.21949
12,26,11.2,70.077352,,21.14088722
12,27,9.8,68.738392,,15.9313817
12,28,9.2,67.882912,,13.89404102
12,29,8.8,70.7,49.6,13.25000904
12,30,12,70.4294,,24.35705397
12,31,11.6,70.290928,,22.73035651
12,32,11,69.9424,,20.36150235
12,33,10.9,69.867883,,19.97587757
12,34,10.6,69.616168,,18.83602287
12,35,9.5,68.331775,,14.89681361
12,36,9.4,73.1,46.8,15.59218608
12,37,9,67.5602,,13.24374536
12,38,6.5,61.942075,,6.448075352
12,39,8.2,66.081592,,10.79460647
12,40,7.3,64.059067,,8.344114279
12,41,7.8,65.229632,,9.66468853
12,42,9.6,68.472008,,15.23819501
12,43,7.2,63.810872,,8.092424339
12,44,8.5,66.671275,,11.68394909
12,45,9.1,72,43.7,14.4098116
12,46,9.1,67.723903,,13.56704505
12,47,7.9,65.449663,,9.941108053
12,48,8.4,66.479408,,11.38356313
12,49,8.1,65.875643,,10.50609023
12,50,9,67.5602,,13.24374536
12,51,9.3,68.037227,,14.22469464
12,52,9,67.5602,,13.24374536
12,53,9.7,73.1,46.6,16.58908002
12,54,,,,
12,55,,,,
13,1,8.5,66.671275,,11.68394909
13,2,10.5,69.522875,,18.46194479
13,3,8.9,67.391803,,12.92417922
13,4,9.1,67.723903,,13.56704505
13,5,8.5,66.671275,,11.68394909
13,6,11.3,70.137787,,21.53451777
13,7,9,67.5602,,13.24374536
13,8,8.3,68.8,48.7,11.49981416
13,9,9,67.5602,,13.24374536
13,10,7.8,65.229632,,9.66468853
13,11,7.6,64.775488,,9.124098605
13,12,7.5,64.541375,,8.859966578
13,13,6.3,,,0.21949
13,14,8.9,67.391803,,12.92417922
13,15,6.6,62.223128,,6.670335905
13,16,8.2,66.081592,,10.79460647
13,17,9,71.3,52.1,13.964704
13,18,7.8,65.229632,,9.66468853
13,19,8.1,65.875643,,10.50609023
13,20,7.1,63.557983,,7.844909857
13,21,9.4,68.186848,,14.55896594
13,22,10.2,69.214832,,17.35813447
13,23,10.2,69.214832,,17.35813447
13,24,8.5,66.671275,,11.68394909
13,25,10,68.986,,16.638158
13,26,9.8,68.738392,,15.9313817
13,27,10.1,71.4,46.3,17.55425332
13,28,10.1,69.102763,,16.99652139
13,29,9.6,68.472008,,15.23819501
13,30,10.1,69.102763,,16.99652139
13,31,12.7,70.491007,,27.27888696
13,32,9.1,67.723903,,13.56704505
13,33,8.2,66.081592,,10.79460647
13,34,7.5,64.541375,,8.859966578
13,35,8.5,66.671275,,11.68394909
13,36,7.5,69.5,49.7,9.5238025
13,37,5.6,59.201368,,4.638090663
13,38,5.9,60.157183,,5.203380266
13,39,9.4,68.186848,,14.55896594
13,40,7.9,65.449663,,9.941108053
13,41,5.9,,,0.21949
13,42,8.6,66.858448,,11.98823494
13,43,9.3,68.037227,,14.22469464
13,44,8.1,65.875643,,10.50609023
13,45,8.8,72.1,52.9,13.50803912
13,46,8.1,65.875643,,10.50609023
13,47,10.1,69.102763,,16.99652139
13,48,7.8,65.229632,,9.66468853
13,49,6.9,63.038123,,7.362453186
13,50,8.1,65.875643,,10.50609023
13,51,6.4,,,0.21949
13,52,6.6,62.223128,,6.670335905
13,53,9.2,67.882912,,13.89404102
13,54,6.2,,,0.21949
13,55,10.8,69,42.2,19.3741108
14,1,6.9,63.038123,,7.362453186
14,2,9.8,68.738392,,15.9313817
14,3,9.2,67.882912,,13.89404102
14,4,6.2,61.070752,,5.806682102
14,5,9,67.5602,,13.24374536
14,6,7.4,64.302568,,8.599966524
14,7,7.1,63.557983,,7.844909857
14,8,7.8,65.229632,,9.66468853
